device_id,phase_type,box_no
GP7629753,1 Phase,3239
GP7629754,1 Phase,3239
GP7629755,1 Phase,3240
GP7629756,1 Phase,3240
GP7629757,1 Phase,3240
GP7629758,1 Phase,3240
GP7629760,1 Phase,3240
GP7629761,1 Phase,3240
GP7629762,1 Phase,3240
GP7629763,1 Phase,3241
GP7629766,1 Phase,3241
GP7629768,1 Phase,3241
GP7629769,1 Phase,3241
GP7629770,1 Phase,3241
GP7629772,1 Phase,3242
GP7629774,1 Phase,3242
GP7629775,1 Phase,3242
GP7629778,1 Phase,3242
GP7629779,1 Phase,3243
GP7629780,1 Phase,3243
GP7629783,1 Phase,3243
GP7629784,1 Phase,3243
GP7629785,1 Phase,3243
GP7629786,1 Phase,3243
GP7629788,1 Phase,3244
GP7629789,1 Phase,3244
GP7629790,1 Phase,3244
GP7629792,1 Phase,3244
GP7629793,1 Phase,3244
GP7629794,1 Phase,3244
GP7629795,1 Phase,3245
GP7629797,1 Phase,3245
GP7629798,1 Phase,3245
GP7629801,1 Phase,3245
GP7629802,1 Phase,3245
GP7629804,1 Phase,3246
GP7629805,1 Phase,3246
GP7629812,1 Phase,3247
GP7629813,1 Phase,3247
GP7629814,1 Phase,3247
GP7629815,1 Phase,3247
GP7629816,1 Phase,3247
GP7629817,1 Phase,3247
GP7629818,1 Phase,3247
GP7629819,1 Phase,3248
GP7629820,1 Phase,3248
GP7629821,1 Phase,3248
GP7629822,1 Phase,3248
GP7629823,1 Phase,3248
GP7629824,1 Phase,3248
GP7629826,1 Phase,3248
GP7629827,1 Phase,3249
GP7629828,1 Phase,3249
GP7629831,1 Phase,3249
GP7629832,1 Phase,3249
GP7629833,1 Phase,3249
GP7629834,1 Phase,3249
GP7629836,1 Phase,3250
GP7629837,1 Phase,3250
GP7629838,1 Phase,3250
GP7629839,1 Phase,3250
GP7629840,1 Phase,3250
GP7629841,1 Phase,3250
GP7629842,1 Phase,3250
GP7629843,1 Phase,3251
GP7629844,1 Phase,3251
GP7629845,1 Phase,3251
GP7629846,1 Phase,3251
GP7629847,1 Phase,3251
GP7629848,1 Phase,3251
GP7629850,1 Phase,3251
GP7629851,1 Phase,3252
GP7629852,1 Phase,3252
GP7629853,1 Phase,3252
GP7629855,1 Phase,3252
GP7629856,1 Phase,3252
GP7629857,1 Phase,3252
GP7629858,1 Phase,3252
GP7629859,1 Phase,3253
GP7629860,1 Phase,3253
GP7629861,1 Phase,3253
GP7629866,1 Phase,3253
GP7629867,1 Phase,3254
GP7629868,1 Phase,3254
GP7629869,1 Phase,3254
GP7629870,1 Phase,3254
GP7629872,1 Phase,3254
GP7629873,1 Phase,3254
GP7629874,1 Phase,3254
GP7629875,1 Phase,3255
GP7629876,1 Phase,3255
GP7629877,1 Phase,3255
GP7629878,1 Phase,3255
GP7629879,1 Phase,3255
GP7629880,1 Phase,3255
GP7629881,1 Phase,3255
GP7629882,1 Phase,3255
GP7629883,1 Phase,3256
GP7629884,1 Phase,3256
GP7629886,1 Phase,3256
GP7629887,1 Phase,3256
GP7629888,1 Phase,3256
